Numero Expediente,Tipo,Origen,Fec. Ing. Mesa Entrada	,Extracto
910/18,PD,S,2018-04-05 00:00:00,"SNOPEK: PROYECTO DE DECLARACION QUE DECLARA DE INTERES EL CENTESIMO NONAGESIMO SEPTIMO ANIVERSARIO DEL DIA GRANDE DE JUJUY O BATALLA DE LEON, EL 27 DE ABRIL DE 2018."
909/18,PD,S,2018-04-05 00:00:00,"SNOPEK: PROYECTO DE DECLARACION QUE ADHIERE A LA CELEBRACION DEL 425 ANIVERSARIO DE LA FUNDACION DE LA CIUDAD DE SAN SALVADOR DE JUJUY, EL 19 DE ABRIL DE 2018."
908/18,PC,S,2018-04-05 00:00:00,"SNOPEK: PROYECTO DE COMUNICACIÓN QUE SOLICITA INFORMES SOBRE LAS ACCIONES LLEVADAS A CABO EN EL PERIODO 2016-2017, PARA PROTEGER Y CONSERVAR LA ""POSTA DE HORNILLOS"" DECLARADA ""LUGAR HISTORICO NACIONAL"" UBICADA EN LA FINCA HORNILLAS, LOC. DE MAIMARA, PROV. DE JUJUY."
907/18,PL,S,2018-04-05 00:00:00,"SNOPEK: PROYECTO DE LEY QUE PROHIBE A LOS OPERADORES DEL SERVICIO DE COMUNICACIÓNES MOVILES, BLOQUEAR LA FUNCIONALIDAD DEL SERVICIO DE RADIODIFUSION SONORA DE FRECUENCIA MODULADA DE LOS EQUIPOS TERMINALES MOVILES QUE LA POSEAN Y SEAN COMERCIALIZADOS, EN SUS LOCALES Y/O AGENCIAS AUTORIZADAS."
906/18,PL,S,2018-04-05 00:00:00,SNOPEK: PROYECTO DE LEY  SOBRE SESIONES DEL CONGRESO
905/18,PD,S,2018-04-05 00:00:00,"LUENZO: PROYECTO DE DECLARACIÓN QUE DECLARA DE INTERÉS LA REALIZACIÓN DE LA ""FERIA DE PESCADORES ARTESANALES"", EN LA LOC. DE MADRYN, PROV. DEL CHUBUT, EN EL MES DE MARZO DE 2018."
904/18,PC,S,2018-04-05 00:00:00,"GARCIA LARRABURU Y OTROS: PROYECTO DE COMUNICACIÓN QUE SOLICITA INFORMES SOBRE LOS MOTIVOS Y FUNDAMENTOS DEL INCREMENTO TARIFARIO DEL SERVICIO DE GAS PREVISTO A PARTIR DE 01/04/18, Y OTRAS CUESTIONES CONEXAS. "
903/18,PC,S,2018-04-05 00:00:00,"CREXELL: PROYECTO DE COMUNICACIÓN QUE SOLICITA LA PRÓRROGA DE LA EMERGENCIA ECONÓMICA, PRODUCTIVA, FINANCIERA Y SOCIAL A LA CADENA DE PRODUCCIÓN DE PERAS Y MANZANAS DE LAS PROVINCIAS DEL NEUQUEN, RIO NEGRO, MENDOZA, SAN JUAN Y LA PAMPA, SEGÚN EL ART. 3 DE LA LEY 27.354 Y S/M. "
902/18,CO,S,2018-04-05 00:00:00,RODRIGUEZ MACHADO: SOLICITA EL RETIRO DEL PROYECTO DE DECLARACION QUE EXPRESA BENEPLACITO A LOS EMPRESARIOS CORDOBESES GERARDO SEGHEZZI Y GUILLERMO BENEY POR LA CREACION DE UN ALFAJOR CON SABOR A FERNET. (REF. S. 723/18)
901/18,PL,S,2018-04-05 00:00:00,"MONTENEGRO: REPRODUCE EL PROYECTO DE LEY QUE DECLARA EL 6 DE SEPTIEMBRE COMO "" DIA NACIONAL DE LAS AGUAS TERMALES"". (REF. S. 3690/15)"
900/18,PL,S,2018-04-05 00:00:00,RODRIGUEZ  MACHADO: PROYECTO DE LEY SOBRE CERTIFICACION DE NORMAS SOBRE PARIDAD DE GÉNERO EN EL  AMBITO LABORAL
899/18,PD,S,2018-04-05 00:00:00,"BRAILLARD POCCARD: PROYECTO DE DECLARACION QUE DECLARA DE INTERÉS LA CELEBRACIÓN DEL ANIVERSARIO DE LA CREACIÓN DE LA RESERVA DEL IBERA EN LA PROV. DE CORRIENTES, EL 15 DE ABRIL DE 2018."
898/18,CC,S,2018-04-05 00:00:00,GIACOPPO: COMUNICA LA CONSTITUCION DE LA COMISION DE TURISMO Y ADJUNTA COPIA DEL ACTA CORRESPONDIENTE.
897/18,PC,S,2018-04-05 00:00:00,"COSTA Y TAPIA: PROYECTO DE COMUNICACIÓN QUE SOLICITA INFORMES SOBRE LA CANTIDAD DE TELÉFONOS S.O.S EN LAS RUTAS NACIONALES 3 Y 40 CORRESPONDIENTES AL TRAMO DE LA PROV. DE SANTA CRUZ, Y OTRAS CUESTIONES CONEXAS."
896/18,PC,S,2018-04-05 00:00:00,"COSTA Y TAPIA: PROYECTO DE COMUNICACIÓN QUE SOLICITA LA APERTURA DE SUCURSALES CON CAJEROS AUTOMÁTICOS DEL BANCO DE LA NACIÓN ARGENTINA, EN LAS LOCALIDADES DE GOBERNADOR GREGORES Y EL CHALTÉN, PROV. DE SANTA CRUZ."
